ID,Section,Question,Deobandi View,Barelwi View,Deobandi References & Links,Barelwi References & Links
67,"Fiqh, Society & Gender Issues",अनौपचारिक धार्मिक गतिविधियों के लिए लाउडस्पीकर का उपयोग करने पर क्या आदेश है?,"सीमित उपयोग, दूसरों को कष्ट न हो",धार्मिक प्रचार के लिए उपयोग जायज़,"Principle: No harm (Hadith: Ibn Majah 2340)
Fatawa Deoband",Fatawa Razawiyya
68,"Fiqh, Society & Gender Issues",क्या हर मुस्लिम के लिए जीवित सूफी शेख को आधिकारिक बै‘अह लेना अनिवार्य है?,"बैअत जरूरी नहीं, लेकिन लाभदायक हो सकती है",रूहानी तरक्की के लिए बैअत को महत्वपूर्ण मानते हैं,Fatawa Deoband,"Qur’an: 48:10 (Bay‘ah)
Fatawa Razawiyya"
69,"Fiqh, Society & Gender Issues",क्या ट्रांसजेंडर व्यक्तियों को मंदिर समारोहों में भाग लेने की अनुमति दी जानी चाहिए?,शरीअत के दायरे में सीमित भागीदारी,सामाजिक समावेशन के साथ अनुमति,"Classical fiqh (khuntha discussion)
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya (modern)"
70,"Fiqh, Society & Gender Issues",मस्जिदों में तीसरे लिंग के पूजारियों को नमाज़ की पंक्तियों में कैसे बैठाया जाना चाहिए?,अलग व्यवस्था या स्थिति अनुसार स्थान,सम्मानजनक और अलग व्यवस्था,"Classical fiqh
Fatawa Deoband","Contemporary fatwas
Fatawa Razawiyya"
71,"Fiqh, Society & Gender Issues",क्या सार्वजनिक धार्मिक बाहरी रूप से ट्रांसजेंडर समुदाय के लिए विशेष रूप से अनुमति दी जाती है?,"दावत (religious outreach) जायज़, लेकिन शरीअत की सीमाओं में",outreach को प्रोत्साहित करते हैं,"Qur’an: 16:125
Fatawa Deoband","Same Qur’an verse
Fatawa Razawiyya"
72,"Fiqh, Society & Gender Issues",क्या इस्लामिक मदरसों (मदरसा) में स्पष्ट रूप से तीसरे लिंग के छात्रों को प्रवेश दिया जाना चाहिए?,अलग व्यवस्था के साथ विचार किया जा सकता है,शिक्षा के अधिकार के तहत अनुमति,"Contemporary fiqh
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya"
73,Beliefs & the Status of Prophets and Saints,पैगंबर मुहम्मद के अस्तित्व संबंधी स्वरूप के वर्णन में मौलिक रूप से कैसे भिन्न हैं?, उन्हें मुख्य रूप से एक इंसान के रूप में देखते हैं।,उन्हें बिना साये के नूर (दिव्य प्रकाश) का एक निर्मित हिस्सा मानते हैं,"Qur’an
“तुम्हारे पास अल्लाह की ओर से एक नूर और स्पष्ट किताब आ चुकी है”
 (Surah Al-Ma’idah 5:15)
 https://quran.com/5/15
Hadith / Riwayat
“पहली चीज़ जो अल्लाह ने पैदा की वह मेरे नूर को पैदा किया…”
 यह रिवायत सूफी साहित्य में प्रसिद्ध है, हालांकि अधिकांश मुहद्दिसीन इसे कमजोर (da‘if) मानते हैं।
https://archive.org
","Qur’an
“कह दीजिए: मैं तो तुम्हारी ही तरह एक इंसान हूँ…”
 (Surah Al-Kahf 18:110)
 https://quran.com/18/110
“उनके रसूलों ने कहा: हम तो तुम्हारी ही तरह इंसान हैं…”
(Surah Ibrahim 14:11)
https://quran.com/14/11 "
74,Beliefs & the Status of Prophets and Saints,नबी के इल्म-ए-ग़ैब (अनदेखी चीज़ों के ज्ञान) के संबंध में विपरीत दृष्टिकोण क्या है?, मुस्लमान इस पूर्ण विशेषता को अस्वीकार करते हैं।,"मुस्लमान मानते हैं कि नबी के पास इल्म-ए-ग़ैब का पूर्ण ज्ञान था,","Qur’an
“(अल्लाह) ग़ैब का जानने वाला है, और अपने ग़ैब पर किसी को प्रकट नहीं करता, सिवाय अपने चुने हुए रसूल के…”
 (Surah Al-Jinn 72:26–27)
 https://quran.com/72/26-27
“और अल्लाह ने आपको वह सिखाया जो आप नहीं जानते थे…”
 (Surah An-Nisa 4:113)
 https://quran.com/4/113","Qur’an
“कह दीजिए: मैं अपने लिए भी लाभ और हानि का मालिक नहीं, सिवाय जो अल्लाह चाहे। और यदि मैं ग़ैब जानता होता…”
(Surah Al-A‘raf 7:188)
https://quran.com/7/188
“कह दीजिए: मैं तुमसे नहीं कहता कि मेरे पास अल्लाह के खज़ाने हैं और न मैं ग़ैब जानता हूँ…”
(Surah Al-An‘am 6:50)
 https://quran.com/6/50"
75,Seeking Help and Intercession,औलिया (संतों) से मदद माँगने या मज़ार की ज़ियारत करने के संबंध में दोनों विचारधाराओं में क्या अंतर है?, मुस्लमान इस प्रकार के तौज़ीम (श्रद्धा) के कड़े खिलाफ हैं।,"मुस्लमान औलिया से मदद माँगने और मज़ार की ज़ियारत करने को सामान्य और जायज़ मानते हैं,","Qur’an
“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो…”
(Surah Al-Ma’idah 5:35)
https://quran.com/5/35
“निस्संदेह, अल्लाह के दोस्तों (Awliya) पर न कोई डर है और न वे दुखी होंगे”
(Surah Yunus 10:62)
 https://quran.com/10/62","Qur’an
“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी और को न पुकारो”
(Surah Al-Jinn 72:18)
https://quran.com/72/18
“जिन्हें तुम अल्लाह के सिवा पुकारते हो, वे तुम्हारी पुकार नहीं सुनते…”
(Surah Fatir 35:14)
https://quran.com/35/14"
76,Mawlid & Devotional Gatherings,मौलिद (नबी का जन्मदिन) मनाने के संबंध में निम्न में से कौन सा तथ्य सही है?,मुस्लमान आम तौर पर इसे एक बिदअत (नवाचार) मानते हैं जिससे बचना चाहिए।,"मुस्लमान मौलिद को एक सामान्य प्रथा के रूप में मनाते हैं,","Qur’an
“कह दीजिए: अल्लाह के फ़ज़्ल और उसकी रहमत पर खुशियाँ मनाओ…”
(Surah Yunus 10:58)
https://quran.com/10/58


नबी को सबसे बड़ी रहमत मानकर उनके जन्म पर खुशी मनाना जायज़
“और हमने आपको समस्त संसार के लिए रहमत बनाकर भेजा”
(Surah Al-Anbiya 21:107)
https://quran.com/21/107","Hadith
“जो हमारे दीन में नई चीज़ निकाले जो उसमें नहीं, वह रद्द है।”
(Sahih al-Bukhari 2697 / Sahih Muslim 1718)
 https://sunnah.com/bukhari:2697
 https://sunnah.com/muslim:1718a
Qur’an
“आज मैंने तुम्हारे लिए तुम्हारा दीन पूर्ण कर दिया…”
(Surah Al-Ma’idah 5:3)
https://quran.com/5/3"
77,"Graves, Shrines & Urs",इस्लाम में मजारों पर सजदा करने की प्रथा पर के संबंध में कौन स तथ्य सही है?,मुस्लमान दरगाहों पर सजदा करने जैसे कार्यों का कड़ा विरोध करते हैं।,"मुस्लमान मजारों पर सजदा करने को जायज़ मानते हैं,","Qur’an
“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी और को न पुकारो”
(Surah Al-Jinn 72:18)
https://quran.com/72/18 
“हम केवल तेरी ही इबादत करते हैं…”
(Surah Al-Fatiha 1:5)
https://quran.com/1/5","Hadith
“अगर मैं किसी को किसी के लिए सजदा करने का हुक्म देता…”
(Jami‘ al-Tirmidhi 1159)
https://sunnah.com/tirmidhi:1159

सजदा इबादत का उच्चतम रूप है और केवल अल्लाह के लिए है
Qur’an
“और तुम्हारा रब फैसला कर चुका कि तुम उसके सिवा किसी की इबादत न करो…”
(Surah Al-Isra 17:23)
https://quran.com/17/23"
78,Beliefs & the Status of Prophets and Saints,दोनों विचारधाराओं के बीच नबी की मौजूदगी (हाज़िर-ओ-नाज़िर) के विचार में क्या अंतर है?,मुस्लमान आम तौर पर सर्वव्यापकता के इस विशिष्ट स्वरूप को अस्वीकार करते हैं।,"मुस्लमान मानते हैं कि नबी रूहानी तौर पर मौजूद (हाज़िर-ओ-नाज़िर) हैं,","Qur’an
“ऐ नबी! निस्संदेह हमने आपको गवाह (शाहिद) बनाकर भेजा…”
(Surah Al-Ahzab 33:45)
https://quran.com/33/45
बरेलवी व्याख्या:

“शाहिद” (witness) होने के लिए उम्मत के हालात का ज्ञान आवश्यक माना जाता है।
“और इसी प्रकार हमने तुम्हें एक मध्यस्थ उम्मत बनाया ताकि तुम लोगों पर गवाह बनो और रसूल तुम पर गवाह हों…”
(Surah Al-Baqarah 2:143)
https://quran.com/2/143","Qur’an
“निस्संदेह, आप भी मृत्यु को प्राप्त होंगे और वे भी मृत्यु को प्राप्त होंगे।”
(Surah Az-Zumar 39:30)
https://quran.com/39/30
“कह दीजिए: मैं तुम्हारी ही तरह एक इंसान हूँ…”
(Surah Al-Kahf 18:110)
https://quran.com/18/11"
79,"Graves, Shrines & Urs",सूफी सिलसिले और दरगाहों के सम्मान के संबंध में निम्न में से कौन सा बिंदु इस्लामिक धरना के अनुसार उपयुक्त हैं?,मुस्लमान सूफीवाद को स्वीकार करते हैं लेकिन दरगाहों की पूजा (त़ौज़ीर) को अस्वीकार करते हैं।,"मुस्लमान सूफी सिलसिलों के साथ-साथ औलिया और दरगाहों के प्रति गहरे सम्मान के लिए जाने जाते हैं,","Qur’an
“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो…”
(Surah Al-Ma’idah 5:35)
https://quran.com/5/35
“निस्संदेह, अल्लाह के दोस्तों (Awliya) पर न कोई डर है…”
(Surah Yunus 10:62)
https://quran.com/10/62","Qur’an
“और अल्लाह के साथ किसी और को न पुकारो…”
(Surah Al-Jinn 72:18)
https://quran.com/72/18
“हम केवल तेरी ही इबादत करते हैं…”
(Surah Al-Fatiha 1:5)
https://quran.com/1/5"
80,Seeking Help and Intercession,एक धार्मिक मुद्दे के रूप में औलिया से मदद मांगने के वर्गीकरण के संबंध में दोनों मसलक कैसे भिन्न हैं?,मुस्लमान इसे अक्सर तौहीद (अल्लाह की एकता) के साथ समझौता और शिर्क की सीमा तक मानते हैं।,"मुस्लमान इसे औलिया से वैध वसीला (intercession) के रूप में देखते हैं,","कुरआन:

“अल्लाह तक पहुँचने का वसीला तलाश करो”
Surah Al-Ma’idah 5:35
https://quran.com/5/35","कुरआन
“जब तुम मदद मांगो तो अल्लाह ही से मदद मांगो”
(हदीस-तिरमिज़ी में प्रसिद्ध अर्थ)

https://islamqa.org/shafii/seekersguidance-shafii/224517/"
